epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1322,1.85087,3.97148,1.55091,0.05623,0.57268,0.07444,0.0423,1.35387,9.41175,1.23539,9.08133e-05,9.08133e-05,9.08133e-05
2,35.7048,1.35453,2.22533,1.20726,0.11294,0.47773,0.17945,0.10728,1.40356,4.33747,1.26463,0.000181966,0.000181966,0.000181966
3,51.8685,1.34639,1.93702,1.19611,0.19778,0.65272,0.25892,0.15203,1.32317,3.45812,1.23257,0.00027159,0.00027159,0.00027159
4,67.8206,1.26676,1.79971,1.17435,0.15869,0.64255,0.23074,0.13285,1.27387,2.72813,1.23884,0.000271119,0.000271119,0.000271119
5,83.6335,1.23656,1.63345,1.14726,0.15839,0.81632,0.23588,0.13102,1.31677,2.46975,1.28137,0.000268826,0.000268826,0.000268826
6,99.3453,1.2502,1.58713,1.15812,0.16849,0.85527,0.24196,0.14634,1.17863,2.18636,1.1662,0.000266532,0.000266532,0.000266532
7,115.508,1.22413,1.50892,1.15508,0.16449,0.8093,0.22575,0.13489,1.1911,2.30298,1.19745,0.000264239,0.000264239,0.000264239
8,131.344,1.19784,1.47623,1.1374,0.2276,0.67505,0.34149,0.2074,1.15837,2.00058,1.18535,0.000261945,0.000261945,0.000261945
9,147.148,1.20682,1.47214,1.14421,0.1784,0.86497,0.25517,0.15127,1.16135,2.05839,1.19123,0.000259652,0.000259652,0.000259652
10,162.83,1.18029,1.39804,1.14065,0.1819,0.8781,0.26084,0.1619,1.14385,2.19218,1.16407,0.000257359,0.000257359,0.000257359
11,178.471,1.18524,1.39584,1.13429,0.19735,0.79666,0.29631,0.17947,1.17968,2.14037,1.18061,0.000255065,0.000255065,0.000255065
12,194.24,1.16001,1.31856,1.11398,0.1912,0.82118,0.26656,0.15896,1.22083,2.14169,1.19404,0.000252772,0.000252772,0.000252772
13,209.998,1.18394,1.36561,1.13479,0.17511,0.8863,0.21185,0.13113,1.15785,2.17287,1.17212,0.000250478,0.000250478,0.000250478
14,228.374,1.15872,1.35072,1.11188,0.22494,0.68231,0.31775,0.19501,1.12613,2.085,1.16953,0.000248184,0.000248184,0.000248184
15,244.121,1.13519,1.30922,1.10783,0.21626,0.72878,0.28919,0.18401,1.1259,2.32062,1.16411,0.000245891,0.000245891,0.000245891
16,259.777,1.14555,1.29223,1.11175,0.21765,0.64631,0.3051,0.18253,1.14916,2.40043,1.17447,0.000243597,0.000243597,0.000243597
17,275.593,1.12606,1.28338,1.10147,0.23844,0.62968,0.30883,0.19402,1.13298,2.13586,1.16816,0.000241304,0.000241304,0.000241304
18,291.28,1.10659,1.28578,1.09551,0.20811,0.80132,0.28395,0.1753,1.11813,2.17274,1.18151,0.00023901,0.00023901,0.00023901
19,307.36,1.09979,1.27372,1.09498,0.2321,0.79651,0.34036,0.21599,1.15221,2.04478,1.18568,0.000236717,0.000236717,0.000236717
20,323.683,1.12353,1.23986,1.10337,0.24507,0.75101,0.34318,0.2135,1.1341,2.11385,1.17752,0.000234423,0.000234423,0.000234423
21,339.911,1.09001,1.16624,1.09111,0.28111,0.76594,0.35571,0.22168,1.12491,2.16097,1.18107,0.00023213,0.00023213,0.00023213
22,355.921,1.09483,1.14648,1.09721,0.3416,0.76492,0.40489,0.24689,1.22694,2.2261,1.23054,0.000229836,0.000229836,0.000229836
23,371.88,1.07312,1.11134,1.0774,0.31714,0.79006,0.40322,0.25338,1.12651,2.10914,1.18464,0.000227543,0.000227543,0.000227543
24,387.826,1.09028,1.09983,1.08907,0.2309,0.83277,0.28681,0.18142,1.1322,2.28976,1.16546,0.000225249,0.000225249,0.000225249
25,403.435,1.09605,1.09399,1.0805,0.31918,0.7701,0.41464,0.25088,1.14123,2.07987,1.19335,0.000222956,0.000222956,0.000222956
26,419.705,1.05266,1.00717,1.07418,0.35326,0.60322,0.44578,0.27743,1.14612,2.12844,1.19059,0.000220662,0.000220662,0.000220662
27,436.268,1.06073,1.02185,1.07673,0.35927,0.68415,0.45329,0.28695,1.14511,1.98978,1.17899,0.000218369,0.000218369,0.000218369
28,452.192,1.03013,1.01123,1.06534,0.39543,0.69319,0.47405,0.29737,1.11149,1.95027,1.17021,0.000216075,0.000216075,0.000216075
29,468.156,1.09337,0.96481,1.0691,0.37012,0.77067,0.50502,0.32139,1.15229,2.16136,1.18401,0.000213782,0.000213782,0.000213782
30,484.2,1.0275,0.86824,1.06186,0.36824,0.81848,0.44028,0.27157,1.16956,2.38044,1.19321,0.000211488,0.000211488,0.000211488
31,499.87,1.04353,0.84497,1.06538,0.3673,0.88254,0.44186,0.27427,1.13869,2.12858,1.18488,0.000209195,0.000209195,0.000209195
32,515.593,1.03613,0.9176,1.06146,0.3968,0.81517,0.52799,0.32345,1.13826,1.93705,1.1862,0.000206902,0.000206902,0.000206902
33,533.873,1.05635,0.89555,1.06967,0.35005,0.7433,0.41522,0.26061,1.1173,1.98557,1.17457,0.000204608,0.000204608,0.000204608
34,549.631,1.01501,0.82416,1.04636,0.33695,0.80429,0.39375,0.24611,1.13935,1.84237,1.18777,0.000202314,0.000202314,0.000202314
35,565.335,1.0671,0.89369,1.06806,0.45465,0.81705,0.56444,0.35194,1.1028,1.91644,1.1687,0.000200021,0.000200021,0.000200021
36,581.36,1.0361,0.89859,1.06491,0.33944,0.76369,0.41695,0.26098,1.12573,2.01211,1.1899,0.000197727,0.000197727,0.000197727
37,597.014,1.04534,0.85092,1.06864,0.3512,0.53932,0.41775,0.26326,1.15493,1.88314,1.19509,0.000195434,0.000195434,0.000195434
38,613.044,1.01456,0.76757,1.05095,0.34067,0.72543,0.40203,0.26168,1.13261,2.01953,1.18082,0.00019314,0.00019314,0.00019314
39,629.227,1.03047,0.78468,1.05802,0.31531,0.77462,0.38489,0.23945,1.19295,2.05446,1.2265,0.000190847,0.000190847,0.000190847
40,645.181,0.99883,0.74655,1.04243,0.40904,0.70818,0.47877,0.30342,1.09219,1.87739,1.16274,0.000188554,0.000188554,0.000188554
41,660.842,1.00272,0.7698,1.04465,0.41874,0.86072,0.49955,0.30949,1.13036,2.0397,1.17489,0.00018626,0.00018626,0.00018626
42,676.506,1.00324,0.7551,1.04465,0.37905,0.77604,0.44562,0.27624,1.14796,2.01814,1.15449,0.000183966,0.000183966,0.000183966
43,692.366,1.01129,0.77536,1.04382,0.34076,0.69896,0.39933,0.2426,1.19193,2.42586,1.17024,0.000181673,0.000181673,0.000181673
44,707.927,0.99157,0.71183,1.03491,0.34329,0.7839,0.40288,0.25119,1.20032,2.07063,1.18875,0.000179379,0.000179379,0.000179379
45,723.907,0.96302,0.70061,1.03354,0.41742,0.85054,0.48618,0.30357,1.11846,2.17096,1.17746,0.000177086,0.000177086,0.000177086
46,740.016,0.99035,0.71663,1.03498,0.36207,0.69742,0.42502,0.27475,1.1191,2.20451,1.16559,0.000174792,0.000174792,0.000174792
47,755.801,0.97239,0.69764,1.02144,0.33244,0.79436,0.39556,0.25509,1.1271,2.54852,1.17044,0.000172499,0.000172499,0.000172499
48,771.551,0.981,0.70766,1.04753,0.43757,0.83667,0.50597,0.32271,1.11756,2.17328,1.17277,0.000170205,0.000170205,0.000170205
49,787.29,0.95983,0.67041,1.01989,0.27249,0.59841,0.30532,0.19665,1.20047,2.76298,1.20126,0.000167912,0.000167912,0.000167912
50,803.033,0.97802,0.6769,1.02736,0.40251,0.73643,0.42197,0.25968,1.16258,2.39679,1.19696,0.000165618,0.000165618,0.000165618
51,818.829,0.9506,0.66942,1.02401,0.40873,0.81704,0.46242,0.28587,1.15124,2.33416,1.17938,0.000163325,0.000163325,0.000163325
52,835.561,0.9507,0.65956,1.02255,0.38171,0.77557,0.41882,0.26235,1.10611,2.25782,1.16364,0.000161031,0.000161031,0.000161031
53,851.855,0.93886,0.6376,1.0177,0.33966,0.62255,0.38547,0.24206,1.12931,2.4854,1.17315,0.000158738,0.000158738,0.000158738
54,867.649,0.94796,0.63951,1.0175,0.4254,0.87118,0.44287,0.2736,1.09789,2.14653,1.15504,0.000156444,0.000156444,0.000156444
55,883.467,0.92421,0.5981,1.01127,0.41349,0.8342,0.43599,0.26938,1.16252,2.385,1.20235,0.000154151,0.000154151,0.000154151
